English,Turkish
bloody,kanlı
college,kolej
french,Fransızca
involved,dahil olmuş
cry,Ağla
became,haline gelmek
lived,yaşadı
impossible,imkansız
obviously,açıkça
neither,hiç biri
accept,kabul
boyfriend,erkek arkadaş
besides,dışında
queen,Kraliçe
teacher,öğretmen
cops,polisler
sake,uğruna
loves,sevmek
carry,taşımak
teach,öğretmek
apartment,apartman
upset,üzgün
green,Yeşil
la,la
liked,sevilen
cute,Sevimli
evil,fenalık
professor,profesör
contact,İletişim
joke,şaka
cop,polis
huge,Kocaman
holy,kutsal
store,mağaza
jail,hapishane
likes,seviyor
lawyer,avukat
doubt,şüphe
continue,devam et
appreciate,takdirle karşılamak
cat,kedi
shop,Dükkan
driving,sürme
congratulations,Tebrikler
wrote,yazmak
village,köy
quit,çıkış yapmak
field,alan
james,james
wine,şarap
decision,karar
south,Güneş ışığı
sleeping,uyuyor
slow,yavaş
laughter,kahkaha
island,Adalet
glass,bardak
beginning,başlangıç
cash,peşin
dying,ölme
hundred,yüz
whose,kimin
difference,fark
plane,uçak
push,itmek
continues,devam ediyor
mmm,mmm
singing,Şarkı söyleme
eating,yemek yiyor
north,Kuzey
mrs,Bayan
tree,ağaç
madam,bayan
gift,hediye
truck,kamyon
putting,koyarak
bear,dayanmak
board,yazı tahtası
grab,yakalamak
beer,bira
stuck,sıkışmak
magic,büyü
support,destek
rules,tüzük
grunts,homurdanma
partner,ortak
reach,ulaşmak
wind,rüzgâr
colonel,albay
max,maksimum
immediately,hemen
seconds,saniye
thousand,bin
gives,vermek
experience,tecrübe etmek
cheers,şerefe
victim,kurban
upon,üzerine
computer,bilgisayar
christ,Mesih
planet,gezegen
promised,söz
bus,otobüs
henry,Henry
dirty,kirli
search,Ara
staying,kalma
dreams,rüyalar
arrest,tutuklamak
holding,tutma
suddenly,birden
usually,genellikle
lots,çok
shoes,ayakkabı
er,eritmek
jump,zıplamak
rid,kurtulmak
yo,yo
knock,vurmak
owe,borçlu olmak
harry,harry
grow,büyümek
worst,en kötüsü
river,nehir
aunt,hala
patient,hasta
kitchen,mutfak
aah,AAH
fat,şişman
passed,geçti
m,m
final,final
summer,yaz
bob,bob
listening,dinleme
escape,kaçmak
everywhere,her yerde
moon,ay
arms,silâh
turns,döner
address,adres
ow,ow
match,kibrit
gasps,gasps
grand,grand
yep,Evet
shh,shh
nervous,gergin
de,diye
choose,Seç
themselves,kendileri
decide,karar vermek
mate,Dostum
drinking,içme
press,basmak
bother,zahmet
foot,ayak
hadn,hadis
blame,suçlamak
crap,saçmalık
drugs,ilaçlar
type,tip
rings,yüzükler
mission,misyon
named,adlandırılmış
heaven,cennet
ii,ii
picked,seçilmiş
paris,Paris
race,ırk
risk,risk
books,kitabın
further,daha öte
danny,danny
action,eylem
allowed,izin verilmiş
orders,emirler
learned,öğrendi
price,fiyat
arrived,ulaşmış
nick,Nick
otherwise,aksi halde
pictures,resimler
fit,Uygun
smoke,Sigara içmek
favor,iyilik
played,oynanan
notice,farkına varmak
awesome,Süper
smile,gülümsemek
director,Müdür
guard,koruma
begin,başlamak
spot,yer
surprised,şaşırmış
innocent,masum
narrator,dış ses
herself,kendini
london,Londra
feelings,duygular
enemy,düşman
battle,savaş
ourselves,kendimizi
alex,Alex
dollars,dolar
allow,izin vermek
nine,dokuz
gay,eşcinsel
department,Bölüm
guilty,suçlu
apart,ayrı ayrı
earlier,daha erken
duty,görev
jim,jim
suit,takım elbise
bell,zil
west,Batı
legs,bacaklar
hero,kahraman
destroy,tahrip etmek
stage,sahne
bunch,Demet
according,binaen
chicken,Tavuk
bigger,daha büyük
grunting,homurdanma
low,düşük
helping,yardım ediyor
admit,itiraf etmek
closed,kapalı
names,isimler
witness,tanık
upstairs,üst katta
arm,kol
steal,çalmak
jimmy,jimmy
kick,Atmak
twice,iki kere
cross,geçmek
ways,yollar
sergeant,Çavuş
indeed,aslında
gas,gaz
keeping,tutma
energy,enerji
pregnant,hamile
waste,atık
helped,yardım etti
fired,işten çıkarmak
favorite,favori
tony,tony
taste,tatmak
locked,kilitli
places,yerler
writing,yazı
adam,adam
brothers,Kardeşler
starts,başlamak
prince,prens
form,form
sold,satıldı
silly,şapşal
mention,Anma
build,yapı
throat,boğaz
hole,delik
figured,figürlü
track,izlemek
ringing,zil sesi
lock,kilit
leg,bacak
above,üstünde
hiding,gizleme
steve,steve
seemed,gibiydi
breakfast,sabah kahvaltısı
engine,motor
written,yazılı
complete,tamamlayınız
video,video
applause,alkış
however,ancak
pressure,baskı yapmak
fresh,taze
weapon,silâh
sky,gökyüzü
ms.,Hanım.
stole,çalmak
study,Araştırma
burn,yakmak
reading,okuma
crowd,kalabalık
treat,davranmak
roll,rulo
double,çift
spirit,ruh
danger,tehlike
cost,maliyet
empty,boş
level,seviye
memory,hafıza
itself,kendisi
acting,oyunculuk
interest,faiz
nose,burun
plans,planlar
following,Takip etmek
bathroom,banyo
built,inşa edilmiş
closer,daha yakın
ray,ray
sarah,sarah
band,grup
groans,inatçı
apparently,görünen o ki
excited,uyarılmış
richard,richard
losing,kaybetmek
animals,hayvanlar
flight,uçuş
nature,Doğa
raise,yükseltmek
pop,pop
client,müşteri
bomb,bomba
neck,boyun
suspect,şüphelenmek
warm,"Ilık, hafif sıcak"
extra,ekstra
bottle,şişe
van,kamyonet
heavy,ağır
mommy,anne
dogs,köpekler
wild,vahşi
ridiculous,saçma
simply,basitçe
lee,lae
animal,hayvan
showed,gösterdi
billy,billy
shooting,çekim
keeps,tutar
camp,kamp
guns,tüfek
medical,tıbbi
shame,utanç
hoping,umut
whom,kime
bird,kuş
majesty,majesteli
flowers,Çiçekler
famous,tanınmış
asleep,uyuya kalmak
beauty,güzellik
driver,sürücü
keys,anahtarlar
rain,yağmur
awful,berbat
large,büyük
local,yerel
deserve,hak etmek
goddamn,lanet olası
stone,taş
jane,ırmak
grace,lütuf
consider,düşünmek
weekend,hafta sonu
wondering,merak ediyor
lay,sermek
plenty,bolca
willing,istekli
pants,pantolon
sweetheart,sevgilim
skin,deri
excellent,harika
asshole,Pislik
beach,plaj
c,C
faith,inanç
beg,dilenmek
fuckin,lanet
responsible,sorumlu
military,askeri
cheering,tezahürat
opportunity,fırsat
common,Yaygın
bottom,alt
german,Almanca
whoever,her kim
cook,pişirmek
walked,yürüdü
papers,kâğıtlar
justice,Adalet
hall,salon
commander,komutan
drug,uyuşturucu madde
main,ana
knife,bıçak
devil,şeytan
necessary,gerekli
although,olmasına rağmen
princess,prenses
lights,ışıklar
flying,uçan
dick,dick
rose,Gül
knowing,tanımak
clearly,Açıkça
hat,şapka
agreed,kabul
johnny,İyilik
corner,köşe
code,kodu
note,Not
tommy,tommy
due,vadesi dolmuş
correct,doğru
apologize,özür dilemek
language,dilim
stars,yıldızlar
faster,Daha hızlı
cars,arabalar
folks,millet
bullshit,saçmalık
i.,Bence.
fellow,dost
several,birkaç
grandma,büyükanne
shows,şovlar
leader,Önder
leaves,yapraklar
restaurant,restoran
east,Doğu
shouting,bağırarak
blind,kör
ghost,hayalet
cup,Fincan
gotten,aldatmak
tight,sıkı
conversation,konuşma
tells,anlatır
lies,yalanlar
nor,ne de
pulled,çekti
hanging,asılı
speed,hız
stories,öyküler
health,sağlık
advice,tavsiye
held,tutulmuş
uh-huh,HI-hı
murdered,öldürülmüş
beyond,Öte
rule,kural
hardly,zorlukla
possibly,muhtemelen
inspector,müfettiş
cousin,kuzen
trial,duruşma
emergency,acil Durum
ought,zorunluluk
eddie,EDDIE
somehow,bir şekilde
hearing,işitme
states,devletler
account,hesap
spoke,konuşur
file,dosya
understood,anlaşıldı
angel,Melek
tape,kaset
milk,Süt
powerful,güçlü
weapons,silahlar
practice,uygulama
manager,yönetici
pardon,Pardon
vote,oy
jake,şakacı
national,Ulusal
career,kariyer
minister,bakan
super,Süper
taught,öğretilen
robert,Robert
biggest,en büyük
plays,oynar
natural,doğal
dancing,dans
copy,kopya
plus,artı
martin,martin
cake,Kek
freedom,özgürlük
among,arasında
breath,nefes
operation,operasyon
chris,chris
crew,mürettebat
challenge,meydan okumak
market,Market
meat,et
towards,karşı
bringing,getirme
dropped,düştü
student,Öğrenci
lied,Yalan
strength,kuvvet
size,boyut
breathe,nefes almak
color,renk
monster,canavar
loud,yüksek sesle
photo,Fotoğraf
aw,aw
nearly,neredeyse
sight,görünüş
greatest,En büyük
games,oyunlar
bridge,köprü
dressed,giyinmiş
arrested,tutuklanmış
horrible,berbat
coach,Koç
planning,planlama
checked,kontrol
breaking,son Dakika
noticed,algılanan
fantastic,harika
screams,çığlık atma
serve,sert
ideas,fikirler
investigation,soruşturma
center,merkez
older,daha eski
pack,ambalaj
soldiers,askerler
nonsense,Anlamsız
doc,doc
project,proje
training,Eğitim
example,örnek
trick,hile
prepared,hazırlanmış
science,Bilim
united,Birleşik
travel,yolculuk
incredible,inanılmaz
grandpa,büyükbaba
paying,ödeme
character,karakter
teeth,diş
criminal,adli
charles,charles
chinese,Çince
truly,tamamen
honestly,gerçekten
bro,kardeş
survive,hayatta kalmak
bobby,bobby
target,hedef
feed,beslemek
nurse,hemşire
e,e
fake,sahte
records,kayıtlar
breathing,nefes alma
sweetie,Tatlım
numbers,sayılar
oil,sıvı yağ
suicide,intihar
